,carname,fueltype,carbody,drivewheel,enginetype,horsepower,price
0,alfa-romero giulia,gas,convertible,rwd,dohc,111,13495.0
1,alfa-romero stelvio,gas,convertible,rwd,dohc,111,16500.0
2,alfa-romero Quadrifoglio,gas,hatchback,rwd,ohcv,154,16500.0
3,audi 100 ls,gas,sedan,fwd,ohc,102,13950.0
4,audi 100ls,gas,sedan,4wd,ohc,115,17450.0
5,audi fox,gas,sedan,fwd,ohc,110,15250.0
6,audi 100ls,gas,sedan,fwd,ohc,110,17710.0
7,audi 5000,gas,wagon,fwd,ohc,110,18920.0
8,audi 4000,gas,sedan,fwd,ohc,140,23875.0
9,audi 5000s (diesel),gas,hatchback,4wd,ohc,160,17859.167
10,bmw 320i,gas,sedan,rwd,ohc,101,16430.0
11,bmw 320i,gas,sedan,rwd,ohc,101,16925.0
12,bmw x1,gas,sedan,rwd,ohc,121,20970.0
13,bmw x3,gas,sedan,rwd,ohc,121,21105.0
14,bmw z4,gas,sedan,rwd,ohc,121,24565.0
15,bmw x4,gas,sedan,rwd,ohc,182,30760.0
17,bmw x3,gas,sedan,rwd,ohc,182,36880.0
18,chevrolet impala,gas,hatchback,fwd,l,48,5151.0
19,chevrolet monte carlo,gas,hatchback,fwd,ohc,70,6295.0
20,chevrolet vega 2300,gas,sedan,fwd,ohc,70,6575.0
21,dodge rampage,gas,hatchback,fwd,ohc,68,5572.0
22,dodge challenger se,gas,hatchback,fwd,ohc,68,6377.0
23,dodge d200,gas,hatchback,fwd,ohc,102,7957.0
24,dodge monaco (sw),gas,hatchback,fwd,ohc,68,6229.0
25,dodge colt hardtop,gas,sedan,fwd,ohc,68,6692.0
26,dodge colt (sw),gas,sedan,fwd,ohc,68,7609.0
27,dodge coronet custom,gas,sedan,fwd,ohc,102,8558.0
28,dodge dart custom,gas,wagon,fwd,ohc,88,8921.0
29,dodge coronet custom (sw),gas,hatchback,fwd,ohc,145,12964.0
30,honda civic,gas,hatchback,fwd,ohc,58,6479.0
31,honda civic cvcc,gas,hatchback,fwd,ohc,76,6855.0
32,honda civic,gas,hatchback,fwd,ohc,60,5399.0
33,honda accord cvcc,gas,hatchback,fwd,ohc,76,6529.0
34,honda civic cvcc,gas,hatchback,fwd,ohc,76,7129.0
35,honda accord lx,gas,sedan,fwd,ohc,76,7295.0
36,honda civic 1500 gl,gas,wagon,fwd,ohc,76,7295.0
37,honda accord,gas,hatchback,fwd,ohc,86,7895.0
38,honda civic 1300,gas,hatchback,fwd,ohc,86,9095.0
39,honda prelude,gas,sedan,fwd,ohc,86,8845.0
40,honda accord,gas,sedan,fwd,ohc,86,10295.0
41,honda civic,gas,sedan,fwd,ohc,101,12945.0
42,honda civic (auto),gas,sedan,fwd,ohc,100,10345.0
43,isuzu MU-X,gas,sedan,rwd,ohc,78,6785.0
44,isuzu D-Max ,gas,sedan,fwd,ohc,70,8916.5
45,isuzu D-Max V-Cross,gas,sedan,fwd,ohc,70,8916.5
46,isuzu D-Max ,gas,hatchback,rwd,ohc,90,11048.0
47,jaguar xj,gas,sedan,rwd,dohc,176,32250.0
48,jaguar xf,gas,sedan,rwd,dohc,176,35550.0
50,maxda rx3,gas,hatchback,fwd,ohc,68,5195.0
51,maxda glc deluxe,gas,hatchback,fwd,ohc,68,6095.0
52,mazda rx2 coupe,gas,hatchback,fwd,ohc,68,6795.0
53,mazda rx-4,gas,sedan,fwd,ohc,68,6695.0
54,mazda glc deluxe,gas,sedan,fwd,ohc,68,7395.0
55,mazda 626,gas,hatchback,rwd,rotor,101,10945.0
56,mazda glc,gas,hatchback,rwd,rotor,101,11845.0
57,mazda rx-7 gs,gas,hatchback,rwd,rotor,101,13645.0
58,mazda glc 4,gas,hatchback,rwd,rotor,135,15645.0
59,mazda 626,gas,hatchback,fwd,ohc,84,8845.0
60,mazda glc custom l,gas,sedan,fwd,ohc,84,8495.0
61,mazda glc custom,gas,hatchback,fwd,ohc,84,10595.0
62,mazda rx-4,gas,sedan,fwd,ohc,84,10245.0
63,mazda glc deluxe,diesel,sedan,fwd,ohc,64,10795.0
64,mazda 626,gas,hatchback,fwd,ohc,84,11245.0
65,mazda glc,gas,sedan,rwd,ohc,120,18280.0
66,mazda rx-7 gs,diesel,sedan,rwd,ohc,72,18344.0
67,buick electra 225 custom,diesel,sedan,rwd,ohc,123,25552.0
68,buick century luxus (sw),diesel,wagon,rwd,ohc,123,28248.0
69,buick century,diesel,hardtop,rwd,ohc,123,28176.0
70,buick skyhawk,diesel,sedan,rwd,ohc,123,31600.0
71,buick opel isuzu deluxe,gas,sedan,rwd,ohcv,155,34184.0
72,buick skylark,gas,convertible,rwd,ohcv,155,35056.0
75,mercury cougar,gas,hatchback,rwd,ohc,175,16503.0
76,mitsubishi mirage,gas,hatchback,fwd,ohc,68,5389.0
77,mitsubishi lancer,gas,hatchback,fwd,ohc,68,6189.0
78,mitsubishi outlander,gas,hatchback,fwd,ohc,68,6669.0
79,mitsubishi g4,gas,hatchback,fwd,ohc,102,7689.0
80,mitsubishi mirage g4,gas,hatchback,fwd,ohc,116,9959.0
81,mitsubishi g4,gas,hatchback,fwd,ohc,88,8499.0
82,mitsubishi outlander,gas,hatchback,fwd,ohc,145,12629.0
83,mitsubishi g4,gas,hatchback,fwd,ohc,145,14869.0
84,mitsubishi mirage g4,gas,hatchback,fwd,ohc,145,14489.0
85,mitsubishi montero,gas,sedan,fwd,ohc,88,6989.0
86,mitsubishi pajero,gas,sedan,fwd,ohc,88,8189.0
87,mitsubishi outlander,gas,sedan,fwd,ohc,116,9279.0
88,mitsubishi mirage g4,gas,sedan,fwd,ohc,116,9279.0
89,Nissan versa,gas,sedan,fwd,ohc,69,5499.0
90,nissan gt-r,diesel,sedan,fwd,ohc,55,7099.0
91,nissan rogue,gas,sedan,fwd,ohc,69,6649.0
92,nissan latio,gas,sedan,fwd,ohc,69,6849.0
93,nissan titan,gas,wagon,fwd,ohc,69,7349.0
